time_born;generation 
0.0137123;1
0.0137123;1
0.0107894;1
0.0107894;1
0.0107894;1
0.0216822;1
0.0216822;1
0.00424718;1
0.00424718;1
0.00424718;1
0.00380495;1
0.00380495;1
0.00380495;1
0.00052202;1
0.00052202;1
0.000483174;1
0.000483174;1
0.0104691;1
0.0104691;1
0.00725981;1
0.00725981;1
0.00725981;1
0.0206705;1
0.0206705;1
0.0206705;1
0.00192789;1
0.00192789;1
7.718e-06;1
7.718e-06;1
0.00871863;1
0.00871863;1
0.000406625;1
0.000406625;1
0.00470506;1
0.00470506;1
0.00281664;1
0.00281664;1
0.00281664;1
0.00534507;1
0.00534507;1
0.00534507;1
0.00550997;1
0.00550997;1
0.00177542;1
0.00177542;1
0.00177542;1
0.0016449;1
0.0016449;1
0.0016449;1
0.000663954;1
0.000663954;1
0.000663954;1
0.000899762;1
0.000899762;1
0.00225915;1
0.00225915;1
0.00225915;1
0.00556576;1
0.00556576;1
0.00831578;1
0.00831578;1
0.005487;1
0.005487;1
0.00851761;1
0.00851761;1
0.0134284;1
0.0134284;1
0.0134284;1
0.000529533;1
0.000529533;1
0.000529533;1
0.00177419;1
0.00177419;1
0.00177419;1
0.000600774;1
0.000600774;1
0.000600774;1
0.00150546;1
0.00150546;1
0.00150546;1
0.0152811;1
0.0152811;1
0.00655485;1
0.00655485;1
0.00655485;1
0.0183428;1
0.0183428;1
0.0114243;1
0.0114243;1
0.0242563;1
0.0242563;1
0.00689999;1
0.00689999;1
0.0137753;1
0.0137753;1
0.0137753;1
0.0273481;1
0.0273481;1
0.0245219;1
0.0245219;1
0.000263149;1
0.000263149;1
0.00861643;1
0.00861643;1
0.00878723;1
0.00878723;1
0.00878723;1
0.0119537;1
0.0119537;1
0.0119537;1
0.00318926;1
0.00318926;1
0.00592295;1
0.00592295;1
0.00592295;1
0.000674825;1
0.000674825;1
0.000674825;1
0.0051131;1
0.0051131;1
0.0051131;1
0.00304402;1
0.00304402;1
0.00304402;1
0.00376765;1
0.00376765;1
0.0011843;1
0.0011843;1
0.0011843;1
0.00898841;1
0.00898841;1
0.00898841;1
0.00602031;1
0.00602031;1
0.000569432;1
0.000569432;1
0.000569432;1
0.000351794;1
0.000351794;1
0.00508616;1
0.00508616;1
0.00616541;1
0.00616541;1
0.00616541;1
0.00103926;1
0.00103926;1
0.00103926;1
0.00717444;1
0.00717444;1
0.00127415;1
0.00127415;1
0.00405286;1
0.00405286;1
0.00207589;1
0.00207589;1
0.00880126;1
0.00880126;1
0.00253167;1
0.00253167;1
0.00253167;1
1.49011e-05;1
1.49011e-05;1
0.00204594;1
0.00204594;1
0.00204594;1
0.000275754;1
0.000275754;1
0.000275754;1
0.001717;1
0.001717;1
0.001717;1
0.00249632;1
0.00249632;1
0.00249632;1
0.00939876;1
0.00939876;1
0.00939876;1
0.000216425;1
0.000216425;1
0.00425213;1
0.00425213;1
0.00782238;1
0.00782238;1
0.000423593;1
0.000423593;1
0.000423593;1
0.000277338;1
0.000277338;1
0.000277338;1
0.00815249;1
0.00815249;1
0.00815249;1
0.00265973;1
0.00265973;1
0.000791443;1
0.000791443;1
0.0348538;1
0.0348538;1
0.00199253;1
0.00199253;1
0.00102674;1
0.00102674;1
0.00536788;1
0.00536788;1
0.0107046;1
0.0107046;1
0.00169555;1
0.00169555;1
0.00169555;1
0.0298275;1
0.0298275;1
0.0298275;1
0.000923219;1
0.000923219;1
0.00222776;1
0.00222776;1
0.00222776;1
0.00173982;1
0.00173982;1
0.00173982;1
0.00126336;1
0.00126336;1
0.00126336;1
0.00491056;1
0.00491056;1
0.00491056;1
0.00537045;1
0.00537045;1
0.00537045;1
0.0182026;1
0.0182026;1
0.0182026;1
0.0175357;1
0.0175357;1
0.0175357;1
0.000250492;1
0.000250492;1
0.00331121;1
0.00331121;1
0.00331121;1
0.010642;1
0.010642;1
0.00630224;1
0.00630224;1
0.00630224;1
0.000488105;1
0.000488105;1
0.00113899;1
0.00113899;1
0.00113899;1
0.00537224;1
0.00537224;1
0.000178323;1
0.000178323;1
0.00324888;1
0.00324888;1
0.00324888;1
0.00167668;1
0.00167668;1
0.00167668;1
0.00552155;1
0.00552155;1
0.00552155;1
0.000970813;1
0.000970813;1
0.000970813;1
0.0046137;1
0.0046137;1
0.0218203;1
0.0218203;1
0.00222233;1
0.00222233;1
0.00299373;1
0.00299373;1
0.00299373;1
6.32502e-05;1
6.32502e-05;1
6.32502e-05;1
0.00386657;1
0.00386657;1
0.00386657;1
0.0111127;1
0.0111127;1
0.00863274;1
0.00863274;1
0.000756127;1
0.000756127;1
0.000756127;1
0.00061754;1
0.00061754;1
0.0368623;1
0.0368623;1
0.0368623;1
4.57391e-05;1
4.57391e-05;1
4.57391e-05;1
0.0122685;1
0.0122685;1
0.00847085;1
0.00847085;1
0.00706595;1
0.00706595;1
6.73953e-05;1
6.73953e-05;1
0.012048;1
0.012048;1
0.012048;1
0.00499945;1
0.00499945;1
0.00499945;1
0.00745037;1
0.00745037;1
0.00255603;1
0.00255603;1
0.00662189;1
0.00662189;1
0.00369718;1
0.00369718;1
0.00369718;1
0.00502945;1
0.00502945;1
0.00502945;1
0.00019409;1
0.00019409;1
0.000385345;1
0.000385345;1
0.000385345;1
0.00622474;1
0.00622474;1
0.0234165;1
0.0234165;1
0.0234165;1
4.43767e-05;1
4.43767e-05;1
0.00484289;1
0.00484289;1
0.0236632;1
0.0236632;1
0.005946;1
0.005946;1
0.0016021;1
0.0016021;1
0.00719392;1
0.00719392;1
0.00719392;1
0.00433979;1
0.00433979;1
0.000351615;1
0.000351615;1
0.000351615;1
0.00168793;1
0.00168793;1
0.00168793;1
0.0148255;1
0.0148255;1
0.0275125;1
0.0275125;1
0.00366533;1
0.00366533;1
0.0024688;1
0.0024688;1
0.00327096;1
0.00327096;1
