H-1
mean;StdDiv;Enrichment 
0.466;0.992393;0.0042
0.617;1.09741;0.0092
0.729;1.15653;0.0142
0.784;1.17701;0.0192
0.746;1.1513;0.0242
0.897;1.22082;0.0292
0.939;1.23583;0.0342
1.032;1.25019;0.0392
1.009;1.25416;0.0442
1.102;1.27027;0.0492
1.115;1.25848;0.0542
1.121;1.25792;0.0592
1.114;1.26925;0.0642
1.188;1.27226;0.0692
1.209;1.2678;0.0742
1.292;1.26441;0.0792
1.259;1.27747;0.0842
1.282;1.25955;0.0892
1.294;1.25442;0.0942
